Link,Bedrooms,Bathrooms,Area_m2,Price_per_meter,Address,City,Location_1,Location_2,Unit,Type,Rent_Sale
https://www.propertysorted.com/buy/listing/ad-compound-acasa-mia-bedrooms-4-sqm-205-property-type-apartment,4.0,,205.0,43902.0,"Acasa Mia, New Cairo, Egypt",Cairo,New Cairo,Acasa Mia,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-katameya-plaza-compound-bedrooms-1-sqm-250-property-type-apartment,1.0,,250.0,65359.0,"Katameya Plaza Compound, New Cairo, Egypt",Cairo,New Cairo,Katameya Plaza Compound,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-banafseg-10-bedrooms-6-sqm-350-property-type-apartment,6.0,,350.0,34286.0,"El Banafseg 10, New Cairo, Egypt",Cairo,New Cairo,El Banafseg 10,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-city-gate-bedrooms-5-sqm-400-property-type-apartment,5.0,,400.0,85029.0,"City Gate, New Cairo, Egypt",Cairo,New Cairo,City Gate,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-yasmeen-bedrooms-3-sqm-200-property-type-apartment,3.0,,200.0,73214.0,"El Yasmeen, New Cairo, Egypt",Cairo,New Cairo,El Yasmeen,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-palm-hills-new-cairo-bedrooms-4-sqm-216-property-type-apartment,4.0,,216.0,125115.0,"Palm Hills New Cairo, New Cairo, Egypt",Cairo,New Cairo,Palm Hills New Cairo,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-shouyfat-bedrooms-4-sqm-275-property-type-apartment,4.0,,275.0,49020.0,"El Shouyfat, New Cairo, Egypt",Cairo,New Cairo,El Shouyfat,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-trio-gardens-bedrooms-1-sqm-100-property-type-apartment,1.0,,100.0,95011.0,"Trio Gardens, New Cairo, Egypt",Cairo,New Cairo,Trio Gardens,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-90-avenue-bedrooms-5-sqm-282-property-type-apartment,5.0,,282.0,66061.0,"90 Avenue, New Cairo, Egypt",Cairo,New Cairo,90 Avenue,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-galleria-moon-valley-bedrooms-3-sqm-200-property-type-apartment,3.0,,200.0,85905.0,"Galleria Moon Valley, New Cairo, Egypt",Cairo,New Cairo,Galleria Moon Valley,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-sky-condos-bedrooms-3-sqm-160-property-type-apartment,3.0,,160.0,101045.0,"Sky Condos, New Cairo, Egypt",Cairo,New Cairo,Sky Condos,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-regents-park-bedrooms-2-sqm-140-property-type-apartment,2.0,,140.0,61611.0,"Regents Park, New Cairo, Egypt",Cairo,New Cairo,Regents Park,Apartment,Residential,Sale
https://www.propertysorted.com/buy/listing/ad-compound-el-shouyfat-bedrooms-5-sqm-450-property-type-apartment,5.0,,450.0,49020.0,"El Shouyfat, New Cairo, Egypt",Cairo,New Cairo,El Shouyfat,Apartment,Residential,Sale
